Title,Doi,Publisher Name,Journal Title,License,Total Amount,Payment Year,Payment Date,Institution,Institution grid id
Intra-individual variation of hen movements is associated with later keel bone fractures in a quasi-commercial aviary,10.1038/s41598-023-29587-9,Nature Research,Scientific Reports,CC-BY 4.0,2288.43,2023,2023-02-13,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Evaluating the implementation fidelity to a successful nurse-led model (INTERCARE) which reduced nursing home unplanned hospitalisations,10.1186/s12913-023-09146-8,BioMed Central,BMC Health Services Research,CC-BY 4.0,2407.39,2023,2023-02-13,ORG45610,grid.6612.3
Planckian Behavior of Cuprate Superconductors: Reconciling the Scaling of Optical Conductivity with Resistivity and Specific Heat,NA,Nature Research,Nature Communications,NA,5470.375,2023,2023-06-12,ORG1032151,grid.8591.5
Quantum advantage in charging cavity and spin batteries by repeated interactions,NA,American Physical Society,Physical Review Research,NA,2460.82,2023,2023-02-22,ORG1032151,grid.8591.5
HMM-based profiling identifies the binding to divalent cations and nucleotides as common denominators of suramin targets,10.3389/fddsv.2023.1112992,Frontiers Media,Frontiers in Drug Discovery,CC-BY 4.0,2062.952,2023,2023-03-28,ORG45610,grid.6612.3
Arabidopsis Sucrose Synthase 3 (SUS3) regulates starch accumulation in guard cells at the end of day,10.1080/15592324.2023.2171614,Taylor and Francis,Plant Signaling & Behavior,CC-BY 4.0,1151.251,2023,2023-03-27,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Paracrine Effects of Renal Proximal Tubular Epithelial Cells on Podocyte Injury under Hypoxic Conditions Are Mediated by Arginase-II and TGF-ß1,10.3390/ijms24043587,MDPI,International Journal of Molecular Sciences,CC-BY 4.0,1938.6,2023,2023-02-13,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Association between the colorectal cancer screening status of primary care physicians and their patients: Evidence from the Swiss Sentinella practice-based research network,10.1016/j.pmedr.2023.102140,Elsevier,Preventive Medicine Reports,CC-BY 4.0,1959.523,2023,2023-03-13,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
What can hornworts teach us?,10.3389/fpls.2023.1108027,Frontiers Media,Frontiers in Plant Science,CC-BY 4.0,3227.402,2023,2023-02-22,ORG63170,grid.7400.3
Effects of biomechanical and biochemical stimuli on angio- and vasculogenesis in a complex microvasculature-on-chip,10.1016/j.isci.2023.106198,Cell Press,iScience,CC-BY 4.0,2771.377,2023,2023-02-22,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
A soft gripper with granular jamming and electroadhesive properties,NA,Wiley Open Access,Advanced Intelligent Systems,CC-BY 4.0,2672.209,2023,2023-02-22,9C66FFA8-CCF0-4431-8972-D3CCAC82448D,grid.483376.d
Optical tools for visualizing and controlling human GLP-1 receptor activation with high spatiotemporal resolution,10.7554/eLife.86628,eLife Sciences Publications,eLife,NA,1858.391,2023,2023-02-22,ORG63170,grid.7400.3
Dissipative solitons and switching waves in dispersion modulated Kerr cavities,NA,American Physical Society,Physical Review X,NA,3964.508,2023,2023-02-27,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Material substrate physical properties control Pseudomonas aeruginosa biofilm architecture,10.1128/mbio.03518-22,American Society for Microbiology,mBio,CC-BY 4.0,2643.005,2023,2023-02-27,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Fitness-Conditional Genes for Soil Adaptation in the Bioaugmentation Agent Pseudomonas veronii 1YdBTEX2,10.1128/msystems.01174-22,American Society for Microbiology,mSystems,CC-BY 4.0,3623.862,2023,2023-02-22,22869459-9D6E-4348-8E17-0DC525B3E595,grid.419765.8
Effects of different acute stressors on the regulation of appetite genes in the carp (Cyprinus carpio L.) brain,10.1098/rsos.230040,Royal Society of Chemistry,Royal Society Open Science,CC-BY 4.0,1365.654,2023,2023-03-20,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
2D-3D reconstruction of the proximal femur from DXA scans: Evaluation of the 3D-Shaper software,10.3389/fbioe.2023.1111020,Frontiers Media,Frontiers in Bioengineering and Biotechnology,CC-BY 4.0,3227.402,2023,2023-02-22,ORG1032151,grid.8591.5
Prevalence of diabetes and pre-diabetes in Sri Lanka: a new global hotspot–estimates from the Sri Lanka Health and Ageing Survey 2018\/2019,10.1136/bmjdrc-2022-003160,BMJ Publishing Group,BMJ Open Diabetes Research and Care,NA,2591.153,2023,2023-01-23,ORG20754,grid.9851.5
Enhancing Inhibitory Control in Older Adults: A Biofeedback Study,10.3390/brainsci13020335,MDPI,Brain Sciences,CC-BY 4.0,1723.2,2023,2023-02-22,ORG1032151,grid.8591.5
Finding the semantic similarity in single-particle diffraction images using self-supervised contrastive projection learning,10.1038/s41524-023-00966-0,Nature Research,npj Computational Materials,CC-BY 4.0,2923.75,2023,2023-04-03,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Low-temperature processing of screen-printed piezoelectric KNbO3 with integration onto biodegradable paper substrate,NA,Springer Nature [academic journals on nature.com],Microsystems & Nanoengineering,CC-BY 4.0,3778.672,2023,2023-02-22,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Deterministic and stochastic sampling of two coupled Kerr parametric oscillators,NA,American Physical Society,Physical Review Research,NA,2469.07,2023,2023-02-22,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Watching the release of a photopharmacological drug from tubulin using time-resolved serial crystallography,10.1038/s41467-023-36481-5,Nature Research,Nature Communications,CC-BY 4.0,5622,2023,2023-04-03,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
How the mechanobiology orchestrates the iterative and reciprocal ECM-cell crosstalk that drives microtissue growth,10.1126/sciadv.add9275,American Association for the Advancement of Science,Science Advances,CC-BY 4.0,3610.534,2023,2023-02-27,ORG1065012,grid.410380.e
Reinventing mental health care in youth through mobile approaches,10.3389/fpsyg.2023.1126015,Frontiers Media,Frontiers in Psychology,CC-BY 4.0,1876.974,2023,2023-02-22,130C4A91-D272-4D08-843B-3D6F8C7AA6C1,grid.29078.34
"Immersive virtual reality helps to promote pro-environmental norms, attitudes and behavioural strategies",10.1016/j.clrc.2023.100105,Elsevier,Cleaner and Responsible Consumption,CC-BY-NC-ND,1119.432,2023,2023-04-11,ORG1032151,grid.8591.5
Comparison of different software for processing physical activity measurements with accelerometry,10.1038/s41598-023-29872-7,Nature Research,Scientific Reports,CC-BY 4.0,2286.391,2023,2023-02-22,ORG20754,grid.9851.5
The Origin of Anion- Autocatalysis,10.1021/jacsau.2c00656,American Chemical Society,JACS Au,CC-BY 4.0,2787.586,2023,2023-02-22,ORG1032151,grid.8591.5
Control strategies used in lower limb exoskeletons for gait rehabilitation after brain injury: a systematic review and analysis of clinical effectiveness,10.1186/s12984-023-01144-5,BioMed Central,Journal of NeuroEngineering and Rehabilitation,CC-BY 4.0,2613.408,2023,2023-03-27,5DDE7A3F-C176-4B49-963D-C1208813CBEC,NA
Diet-induced loss of adipose hexokinase 2 correlates with hyperglycemia,10.7554/eLife.85103,eLife Sciences Publications,eLife,NA,2787.586,2023,2023-02-22,ORG45610,grid.6612.3
The Cenomanian\/Turonian boundary in light of new developments in terrestrial palynology,NA,Nature Research,Scientific Reports,CC-BY 4.0,2286.391,2023,2023-02-22,ORG20754,grid.9851.5
Comparison of In-Person and Online Recordings in the Clinical Teleassessment of Speech Production: A Pilot Study,10.3390/brainsci13020342,MDPI,Brain Sciences,CC-BY 4.0,1723.2,2023,2023-02-22,ORG1032151,grid.8591.5
The Dark Side of Judicialization: Criminalizing Mining Protests in Peru,10.1017/lar.2023.4,Cambridge University Press,Latin American Research Review,CC-BY-NC-ND,3024.531,2023,2023-02-22,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
From surfactants to viscoelastic capsules,NA,Wiley,Advanced Materials Interfaces,NA,2790.712,2023,2023-02-27,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Electronic Coupling of Metal-to-Insulator Transitions in Nickelate-Based Heterostructures,NA,Wiley Open Access,Advanced Electronic Materials,CC-BY 4.0,2771.377,2023,2023-02-22,ORG1032151,grid.8591.5
Broad snouted cladoselachian with sensory specialization at the base of modern chondrichthyans,NA,Birkhäuser Verlag,Swiss Journal of Palaeontology,CC-BY 4.0,698.1789,2023,2023-02-22,ORG63170,grid.7400.3
Single-cell transcriptomic profiling redefines the origin and specification of early adrenogonadal progenitors,NA,Cell Press,Cell Reports,NA,4796.615,2023,2023-02-22,ORG1032151,grid.8591.5
CHELSA-TraCE21k – high-resolution (1 km) downscaled transient temperature and precipitation data since the Last Glacial Maximum,10.5194/cp-19-439-2023,Copernicus Publications,Climate of the Past,CC-BY 4.0,1573.564,2023,2023-07-03,6F50D35E-9361-4531-AF66-B3644EDD5205,NA
Momentum-resolved electronic structure of LaTiO2N photocatalysts by resonant Soft-X-ray ARPES,10.1038/s43246-023-00344-9,Nature Research,communications materials,CC-BY 4.0,2925.94,2023,2023-02-22,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Not1 and Not4 inversely determine mRNA solubility that sets the dynamics of co-translational events,10.1186/s13059-023-02871-7,BioMed Central,Genome Biology,CC-BY 4.0,3945.487,2023,2023-02-22,ORG1032151,grid.8591.5
SREBP modulates the NADP+\/NADPH cycle to control night sleep in Drosophila,10.1038/s41467-022-35577-8,Nature Research,Nature Communications,CC-BY 4.0,5212.321,2023,2023-02-22,ORG20754,grid.9851.5
Structural screens identify candidate human homologs of insect chemoreceptors and cryptic Drosophila gustatory receptor-like proteins,10.7554/eLife.85537,eLife Sciences Publications,eLife,CC-BY 4.0,2861.4,2023,2023-09-25,ORG20754,grid.9851.5
"Association of clinical and genetic risk factors with management of dyslipidaemia: analysis of repeated cross-sectional studies in the general population of Lausanne, Switzerland",10.1136/bmjopen-2022-065409,BMJ Publishing Group,BMJ Open,NA,2236.136,2023,2023-02-13,ORG20754,grid.9851.5
Characterization of substrates and inhibitors of the human heterodimeric transporter 4F2hc-LAT1 using purified protein and the scintillation proximity radioligand binding assay,10.3389/fphys.2023.1148055,Frontiers Media,Frontiers in Physiology,CC-BY 4.0,3260.8,2023,2023-03-28,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Targeted anatomical and functional identification of antinociceptive and pronociceptive serotonergic neurons that project to the spinal dorsal horn,10.7554/eLife.78689,eLife Sciences Publications,eLife,CC-BY 4.0,2853.05,2023,2023-03-27,ORG63170,grid.7400.3
FKBP35 secures ribosome homeostasis in Plasmodium falciparum,10.7554/eLife.86975,eLife Sciences Publications,eLife,CC-BY 4.0,1875.821,2023,2023-03-06,ORG45610,grid.6612.3
Symbiotic electroneural and musculoskeletal framework to encode proprioception via neurostimulation: ProprioStim,10.1016/j.isci.2023.106248,Cell Press,iScience,CC-BY-NC-ND,2232.569,2023,2023-02-27,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
"Issues of Ubiquitous Music Archaeology: Shared knowledge, Simulation, Terseness, and Ambiguity in Early Computer Music",10.3389/frsip.2023.1132672,Frontiers Media,Frontiers in Signal Processing,CC-BY 4.0,2081.546,2023,2023-02-22,70492223-BB42-4B4F-8937-98E84FCDE66A,grid.412369.b
Stimuli-Responsive and Antibacterial Cellulose-Chitosan Hydrogels Containing Polydiacetylene Nanosheets,10.3390/polym15051062,MDPI,Polymers,CC-BY 4.0,1920,2023,2023-02-22,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
The non-destructive investigation of a late antique knob bow fibula (Bügelknopffibel) from Kaiseraugst\/CH using Muon Induced X-ray Emission (MIXE),NA,SpringerOpen,Heritage Science,CC-BY 4.0,1733.466,2023,2023-02-27,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Three-dimensional femtosecond snapshots of isolated faceted nanostructures,10.1126/sciadv.ade5839,American Association for the Advancement of Science,Science Advances,CC-BY-NC,3568.9,2023,2023-04-03,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Sahel Droughts Induced by Large Volcanic Eruptions Over the Last Millennium in PMIP4\/Past1000 Simulations,NA,Wiley,Geophysical Research Letters,CC-BY 4.0,2441.698,2023,2023-02-27,ORG1032151,grid.8591.5
Liquid-liquid crystalline phase separation of evolving amyloid fibrils,10.1103/PhysRevResearch.5.013137,American Physical Society,Physical Review Research,CC-BY 4.0,2377.502,2023,2023-05-30,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Reconstructing bird trajectories from pressure and wind data using a highly optimised hidden Markov model,NA,British Ecological Society,Methods in Ecology and Evolution,CC-BY 4.0,3166.384,2023,2023-02-27,ORG20754,grid.9851.5
High durability and stability of 2D nanofluidic devices for long-term single-molecule sensing,10.1038/s41699-023-00373-5,Nature Research,npj 2D Materials and Applications,CC-BY 4.0,3047.7,2023,2023-04-25,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Self-paced heart rate control for treadmill exercise,10.3389/fcteg.2023.1158164,Frontiers Media,Frontiers in Control Engineering,CC-BY 4.0,2114.555,2023,2023-02-27,8CE7DD81-BAD0-4D1F-AE6E-6408904B679B,grid.424060.4
VEGF dose controls the coupling of angiogenesis and osteogenesis in engineered bone,NA,Nature Research,npj Regenerative Medicine,CC-BY 4.0,3418.635,2023,2023-03-13,ORG45610,grid.6612.3
Cellular Uptake of Silica Particles Influences EGFR Signaling Pathway and is Affected in Response to EGF,10.2147/IJN.S388557,Dove Press,International journal of nanomedicine,CC-BY-NC,2663.55,2023,2023-03-27,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Large scale transient peri-ictal perfusion MRI abnormalities detected by quantitative image analysis,10.1093/braincomms/fcad047,Oxford University Press,Brain Communications,CC-BY 4.0,3289.404,2023,2023-03-06,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Large Ensemble Particle Filter for Spatial Climate Reconstructions Using a Linear Inverse Model,10.1029/2022MS003094,American Geophysical Union,Journal of Advances in Modelling Earth Systems,CC-BY-NC-ND,1854.641,2023,2023-03-13,ORG1032151,grid.8591.5
"Xenarthrans of the Collection of Santiago Roth from the Pampean Region of Argentina (Pleistocene), in Zurich, Switzerland",NA,Birkhäuser Verlag,Swiss Journal of Palaeontology,CC-BY 4.0,1132.616,2023,2023-03-06,ORG63170,grid.7400.3
The Arabidopsis endosperm is a temperature-sensing tissue that implements seed thermoinhibition through phyB,NA,Nature Research,Nature Communications,NA,5571.8,2023,2023-03-06,ORG1032151,grid.8591.5
Évolution des perceptions des agro-éleveurs sur la production et l’utilisation des asticots dans l’alimentation de la volaille au Burkina Faso,10.35759/JABs.182.8,Elewa BioSciences,Journal of Applied Biosciences,CC-BY 4.0,179.8723,2023,2023-05-22,03FBA959-AC45-45BD-8E82-0220F6EB7BA8,grid.483215.9
3D printed microfluidic devices using TOPAS filament for THz spectroscopic measurements,NA,Optica Publishing Group,Optical Materials Express,NA,1571,2023,2023-03-06,65B332DD-7921-4D4D-8A30-E8CDF81140F1,NA
Thermally Drawn Elastomer Nanocomposites for Soft Mechanical Sensors,10.1002/advs.202207573,Wiley Open Access,Advanced Science,CC-BY 4.0,5188.9,2023,2023-04-03,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
CURTAINs for your sliding window: Constructing Unobserved Regions by Transforming Adjacent Intervals,10.3389/fdata.2023.899345,Frontiers Media,Frontiers in Big Data,CC-BY 4.0,1134.723,2023,2023-03-13,ORG1032151,grid.8591.5
The function of plant PR1 and other members of the CAP protein superfamily in plant–pathogen interactions,NA,Wiley Open Access,Molecular Plant Pathology,CC-BY 4.0,2845.678,2023,2023-03-06,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
"Acinetobacter nematophilus sp. nov., Alcaligenes nematophilus sp. nov., Enterobacter nematophilus sp. nov., and Kaistia nema-tophila sp. nov., isolated from soil-borne nematodes and pro-posal for the elevation of Alcaligenes faecalis subsp. faecalis, Alcaligenes  faecalis subsp. parafaecalis, and Alcaligenes faecal-is subsp. phenolicus to the species level",NA,MDPI,Taxonomy,CC-BY 4.0,861.6,2023,2023-03-06,5972A289-A8D0-497B-B3C5-8A5F3519F57A,grid.10711.36
Differences in ambulatory knee moments with respect to the severity of medial knee osteoarthritis are multiple and combinable into a severity index,10.3389/fbioe.2023.1176471,Frontiers Media,Frontiers in Bioengineering and Biotechnology,CC-BY 4.0,3156.138,2023,2023-06-12,University of Lausanne,grid.9851.5
"Spatio-temporal reconstruction of winter glacier mass balance in the Alps, Scandinavia, Central Asia and western Canada (1981–2019) using climate reanalyses and machine learning",10.5194/tc-17-977-2023,European Geosciences Union,The Cryosphere,CC-BY 4.0,2347.404,2023,2023-04-17,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Time-lapse and cleared imaging of mouse embryonic lung explants to study 3D cell morphology and topology dynamics,NA,Cell Press,STAR Protocols,CC-BY 4.0,684.7794,2023,2023-03-13,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
"Melanopic irradiance defines the impact of evening display light on sleep latency, melatonin and alertness",10.1038/s42003-023-04598-4,Nature Research,Communications Biology,CC-BY 4.0,3222.807,2023,2023-12-11,ORG45610,grid.6612.3
Hierarchically Structured Deformation-Sensing Mechanochromic Pigments,NA,Wiley Open Access,Advanced Science,NA,5142.887,2023,2023-03-06,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Deep divergence and genomic diversification of gut symbionts of stingless bees from Brazil,10.1128/mbio.03538-22,American Society for Microbiology,mBio,CC-BY 4.0,3657.85,2023,2023-03-06,ORG20754,grid.9851.5
Secular trends in motor performance in Swiss children and adolescents from 1983 to 2018,10.3389/fpubh.2023.1095586,Frontiers Media,Frontiers in Public Health,CC-BY 4.0,3182.162,2023,2023-03-13,ORG63170,grid.7400.3
Quantitative proteomic analysis of skeletal muscles from wild-type and transgenic mice carrying recessive Ryr1 mutations linked to congenital myopathies,10.7554/eLife.83618,eLife Sciences Publications,eLife,CC-BY 4.0,2813.731,2023,2023-03-06,ORG45610,grid.6612.3
Principles of isomer stability in small clusters,NA,Royal Society of Chemistry,Royal Society Open Science,NA,1533.95,2023,2023-03-06,ORG45610,grid.6612.3
"Not in the Drug, Not in the Brain: Psychedelic Experiences From an Enactive Perspective",10.3389/fpsyg.2023.1100058,Frontiers Media,Frontiers in Psychology,CC-BY 4.0,3257.672,2023,2023-03-06,ORG63170,grid.7400.3
Tracking the photomineralization mechanism in irradiated lab-generated and field-collected brown carbon samples and its effect on cloud condensation nuclei abilities,10.1021/acsenvironau.2c00055,American Chemical Society,ACS Environmental Au,CC-BY 4.0,2748.511,2023,2023-03-13,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Best-worst scaling preferences among patients with well-controlled epilepsy: Pilot results,10.1371/journal.pone.0282658,Public Library of Science,PLoS ONE,CC-BY 4.0,1562.906,2023,2023-07-26,ORG63170,grid.7400.3
"Phylogeographic and morphological analysis of Botrylloides niger Herdman, 1886 from the northeastern Mediterranean Sea",10.3390/d15030367,MDPI,Diversity,CC-BY 4.0,1583.19,2023,2023-03-06,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Association between serologically confirmed COVID-19 infection and cognitive functioning in community dwelling older adults,10.3389/fneur.2023.1093852,Frontiers Media,Frontiers in Neurology,CC-BY 4.0,3182.162,2023,2023-03-13,130C4A91-D272-4D08-843B-3D6F8C7AA6C1,grid.29078.34
Coherent optical-microwave interface for manipulation of low-field electronic clock transitions in 171Yb3+:Y2SiO5,10.1038/s41534-023-00687-8,Nature Research,npj Quantum Information,CC-BY 4.0,3376.365,2023,2023-03-06,ORG1032151,grid.8591.5
Effects of high resistance muscle training on corticospinal output during motor fatigue assessed by transcranial magnetic stimulation,10.3389/fphys.2023.1125974,Frontiers Media,Frontiers in Physiology,CC-BY 4.0,3257.672,2023,2023-03-06,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Bone morphogenetic protein 10 - a novel biomarker to predict adverse outcomes in patients with atrial fibrillation,NA,American Heart Association,Journal of the American Heart Association Cardiovascular and Cerebrovascular Disease,CC-BY 4.0,3221.015,2023,2023-03-06,ORG45610,grid.6612.3
Drivers of the decrease of patent similarities from 1976 to 2021,NA,Public Library of Science,PLoS ONE,CC-BY 4.0,1685.026,2023,2023-03-20,130C4A91-D272-4D08-843B-3D6F8C7AA6C1,grid.29078.34
Targeting high symmetry in structure predictions by biasing the potential energy surface,NA,American Physical Society,Physical Review Research,CC-BY 4.0,2404.947,2023,2023-03-13,ORG45610,grid.6612.3
Late summer transition from a free-tropospheric to boundary layer source of Aitken mode aerosol in the high Arctic,10.5194/acp-23-2927-2023,Copernicus Publications,Atmospheric Chemistry and Physics,CC-BY 4.0,2636.212,2023,2023-03-13,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,grid.5333.6
Communication inequalities and health disparities among vulnerable groups during the COVID-19 pandemic - a scoping review of qualitative and quantitative evidence,10.1186/s12889-023-15295-6,BioMed Central,BMC Public Health,CC-BY 4.0,2946.94,2023,2023-03-06,4A32FC75-68C7-402D-B641-6878A6B96C63,grid.419770.c
Decentralized clinical trials: ethical opportunities and challenges,NA,Elsevier,The Lancet Digital Health,NA,5077.903,2023,2023-03-13,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
Effect of residential relocation on environmental exposures in European cohorts: an exposome-wide approach,10.1016/j.envint.2023.107849,Elsevier,Environment International,CC-BY-NC-ND,3507.553,2023,2023-04-11,ORG45610,grid.6612.3
Characterization of offline analysis of particulate matter with FIGAERO-CIMS,10.5194/amt-16-1147-2023,Copernicus Publications,Atmospheric Measurement Techniques,CC-BY 4.0,1728.455,2023,2023-03-13,D5D66F5B-2A30-44D7-9C75-365E3A8B9F80,NA
Deficits in mitochondrial TCA cycle and OXPHOS precede rod photoreceptor degeneration during chronic HIF activation,10.1186/s13024-023-00602-x,BioMed Central,Molecular Neurodegeneration,CC-BY 4.0,2712.757,2023,2023-02-22,ORG63170,grid.7400.3
Biodiversity dynamics in landscapes with fluctuating connectivity,10.1111/ecog.06385,Oikos Editorial Office,Ecography,CC-BY 4.0,2518.358,2023,2023-03-20,FC0D52E4-0904-44B5-B64E-CC2F625D0CB3,NA
A new system to study directional volatile-mediated interactions reveals the ability of fungi to specifically react to other fungi’s volatiles,10.3389/fevo.2023.1128514,Frontiers Media,Frontiers in Ecology and Evolution,CC-BY 4.0,2683.866,2023,2023-03-13,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
"Fluvio-deltaic record of increased sediment transport during the Middle Eocene Climatic Optimum (MECO), Southern Pyrenees, Spain",10.5194/cp-19-533-2023,Copernicus Publications,Climate of the Past,CC-BY 4.0,1565.098,2023,2023-03-13,ORG1032151,grid.8591.5
Allylic Carbocyclic Inhibitors Covalently Bind Glycoside Hydrolases,10.1021/jacsau.3c00037,American Chemical Society,JACS Au,CC-BY 4.0,2748.511,2023,2023-03-13,ORG63170,grid.7400.3
"Radicalization and Violent Extremism Depend on Envy; Conspiracy Ideation, Not Always",10.3389/fpsyg.2023.1111354,Frontiers Media,Frontiers in Psychology,CC-BY 4.0,1993.165,2023,2023-03-13,ORG1032151,grid.8591.5
c-Maf Positive Spinal Cord Neurons are Critical Elements of a Dorsal Horn Circuit for Mechanical Hypersensitivity in Neuropathy,NA,Cell Press,Cell Reports,NA,4740.781,2023,2023-03-13,ORG63170,grid.7400.3
Subcellular location defines GPCR signal transduction,10.1126/sciadv.adf6059,American Association for the Advancement of Science,Science Advances,CC-BY 4.0,3504.352,2023,2023-03-13,ORG1032151,grid.8591.5
RNA binding induces an allosteric switch in Cyp33 to repress MLL1 mediated transcription,NA,American Association for the Advancement of Science,Science Advances,CC-BY 4.0,3570.762,2023,2023-03-20,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
"Chemo- and optogenetic activation of hypothalamic Foxb1-expressing neurons and their terminal endings in the rostral-dorsolateral PAG leads to tachypnea, bradycardia, and immobility",10.7554/eLife.86737,eLife Sciences Publications,eLife,CC-BY 4.0,1832.341,2023,2023-03-13,63926C9D-1C6D-4573-AB9E-E2E1523F828D,grid.8534.a
Load-induced blood marker kinetics in patients with medial knee compartment osteoarthritis are associated with accumulated load and patient reported outcome measures,NA,F1000Research,F1000Research,CC-BY 4.0,1236.83,2023,2023-03-13,ORG45610,grid.6612.3
Zinc hybrid sintering for printed transient sensors and wireless electronics,NA,Nature Research,npj Flexible Electronics,CC-BY 4.0,3102.583,2023,2023-03-13,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Reversal of nanomagnets by propagating magnons in ferrimagnetic yttrium iron garnet enabling nonvolatile magnon mem,NA,Nature Research,Nature Communications,CC-BY 4.0,5467.7,2023,2023-03-13,862DDBE8-1F84-43A4-8F09-F8057457B7AD,grid.5333.6
Functional diversity of sharks and rays is highly vulnerable and supported by unique species and locations worldwide,10.1038/s41467-023-43212-3,Nature Research,Nature Communications,NA,5629.393,2023,2023-11-20,ORG63170,grid.7400.3
The Skp1-Cullin1-FBXO1 complex is a pleiotropic regulator required for the formation of gametes and motile forms in Plasmodium berghei,10.1038/s41467-023-36999-8,Nature Research,Nature Communications,CC-BY 4.0,5467.7,2023,2023-03-13,ORG1032151,grid.8591.5
Are standing osmotic gradients the main driver of cerebrospinal fluid production? A computational analysis,10.1186/s12987-023-00419-2,BioMed Central,Fluids and Barriers of the CNS,CC-BY 4.0,2941.662,2023,2023-03-20,ORG63331,grid.5254.6
Impact of topography on in situ soil wetness measurements for regional landslide early warning - a case study from the Swiss Alpine Foreland,10.5194/nhess-23-1059-2023,Copernicus Publications,Natural Hazards and Earth System Sciences,CC-BY 4.0,1758.209,2023,2023-03-20,61D86A6D-66D7-487D-A257-2C6B2BFC96F8,grid.424520.5
Biased IL-2 signals induce Foxp3-containing pulmonary lymphoid structures and facilitate long-term lung allograft acceptance in mice,10.1038/s41467-023-36924-z,Nature Research,Nature Communications,CC-BY 4.0,5574.022,2023,2023-03-28,ORG63170,grid.7400.3
FGFR regulator Memo1 is dispensible for FGF23 expression by osteoblasts during folic acid-driven kidney injury,NA,Wiley Open Access,Physiological Reports,NA,1500.299,2023,2023-03-20,5335E8AB-CCA6-4F0B-9170-6258BEA725DE,NA
Maternal and fetal predictors of anthropometry in the first year of life in offspring of women with GDM,10.3389/fendo.2023.1144195,Frontiers Media,Frontiers in Endocrinology,CC-BY 4.0,3242.466,2023,2023-03-20,ORG20754,grid.9851.5
In Vitro versus in Mice: Efficacy and Safety of Decoquinate and Quinoline-O-Carbamate Derivatives against Experimental Infection with Neospora caninum Tachyzoites,10.3390/pathogens12030447,MDPI,Pathogens,CC-BY 4.0,1895.52,2023,2023-03-13,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
A two-dimensional non-destructive beam monitoring detector for ion beams,10.3390/app13063657,MDPI,Applied Sciences,CC-BY 4.0,1981.68,2023,2023-03-20,E5F3DA36-3B22-44BA-84F1-DDBDE894053C,grid.5734.5
Alginate-Based Hydrogels and Scaffolds for Biomedical Applications,10.3390/md21030177,MDPI,Marine Drugs,CC-BY 4.0,1900,2023,2023-03-13,490A8208-7E36-4F5A-902E-B811623FCDD8,grid.5801.c
A key role of the hippocampal P3 in the attentional blink,10.1016/j.neuroimage.2023.120028,Elsevier,NeuroImage,CC-BY-NC-ND,3237.647,2023,2023-03-20,E13307D1-47F9-4024-99DE-5AD9E2C1D987,grid.10388.32
